Date,SR (mm)
12/31/1969,155.4742955
12/31/1970,213.6991591
12/31/1971,66.40913636
12/31/1972,120.4944318
12/31/1973,186.0756591
12/31/1974,83.69147727
12/31/1975,143.9734091
12/31/1976,113.9878182
12/31/1977,110.2595227
12/31/1978,137.8201591
12/31/1979,172.8862273
12/31/1980,78.65763636
12/31/1981,137.1438409
12/31/1982,54.45813636
12/31/1983,129.0568864
12/31/1984,110.4822727
12/31/1985,49.57929545
12/31/1986,112.8847727
12/31/1987,43.23802273
12/31/1988,203.4506591
12/31/1989,110.0833864
12/31/1990,239.6751136
12/31/1991,67.55145455
12/31/1992,107.4984318
12/31/1993,151.3017955
12/31/1994,214.9340227
12/31/1995,104.5995682
12/31/1996,107.4547727
12/31/1997,123.8579773
12/31/1998,151.6957727
12/31/1999,120.51525
12/31/2000,49.08852273
12/31/2001,85.07586364
12/31/2002,143.8154773
12/31/2003,124.7077273
12/31/2004,69.58495455
12/31/2005,113.9199091
12/31/2006,284.8837045
12/31/2007,195.0995909
12/31/2008,47.90475
12/31/2009,105.9525909
12/31/2010,117.3697045
12/31/2011,87.10404545
12/31/2012,154.9658864
12/31/2013,216.6574773
12/31/2014,132.8923182
12/31/2015,158.0578409
12/31/2016,118.7006818
12/31/2017,64.15952273
12/31/2018,125.4072727
