observed,predicted
20461857.31,26528916.59
34653494.88,34140786.86
11216385.96,10925780.74
14813119.44,16528606.25
26131331.87,25454174.71
13896681.29,12858711.09
18574508.48,20554055.71
21334036.55,19590070.77
18127586.26,16886613.86
22299685.67,21425445.19
28679469.44,29634971.5
13534562.87,15415007.35
22221071.93,22961510.91
7752738.743,9528581.293
18664264.33,19191579.57
18239007.31,15489414.42
7240511.404,8453812.491
16060725.73,16438517.95
6530821.199,8640656.913
31067284.5,28849563.53
21516643.27,20945906.03
35045016.08,34372221.68
13810020.47,15175224.31
18595245.18,19060926.9
15877809.5,17646365.81
34289828.95,35207261.29
17406444.44,15127300.01
14807548.39,13659827.22
19654364.18,15467892.12
24561842.54,22946656.42
20451953.22,18358193.45
13330290.94,12537933.94
13539514.91,12347782.54
29679473.39,28320419.66
18819634.8,20805359.34
11727684.8,12827294.77
19104996.49,18473964.71
47604335.23,46985846.77
33333464.91,34512768.37
11522793.86,11669851.45
17781252.49,14223640.55
21015558.04,21680909.47
15735128.65,17101567.62
20913112.57,22194318.26
34516694.59,32925444.45
24175273.39,25543382.42
23543887.43,21392321.53
17202172.51,20377905.13
8614394.883,10024628.43
17273358.19,15538992.21
